party,filename,subdir,rel_path,assigned_to
Democratic,20240424-addis-joins-governor-newsom-womens-caucus-abortion-access-bill.txt,Democratic,Democratic\20240424-addis-joins-governor-newsom-womens-caucus-abortion-access-bill.txt,Zack
Democratic,20220426-cliff-local-restaurant-spotlight.txt,Democratic,Democratic\20220426-cliff-local-restaurant-spotlight.txt,Sai
Democratic,20250612-assemblymember-patrick-ahrens-stands-united-states-senator-alex-padilla.txt,Democratic,Democratic\20250612-assemblymember-patrick-ahrens-stands-united-states-senator-alex-padilla.txt,Zack
Democratic,20170818-gipson-applauds-attorney-general-xavier-becerra-settlement-favor-defrauded.txt,Democratic,Democratic\20170818-gipson-applauds-attorney-general-xavier-becerra-settlement-favor-defrauded.txt,Sai
Democratic,20180516-knx-radio-muratsuchi-panic-button-legislation-moving-forward.txt,Democratic,Democratic\20180516-knx-radio-muratsuchi-panic-button-legislation-moving-forward.txt,Zack
Democratic,20161204-rubio-takes-oath-newest-assemblymember-48th-district.txt,Democratic,Democratic\20161204-rubio-takes-oath-newest-assemblymember-48th-district.txt,Sai
Democratic,20190716-assemblymember-ramos-statement-passing-agua-caliente-vice-chairman.txt,Democratic,Democratic\20190716-assemblymember-ramos-statement-passing-agua-caliente-vice-chairman.txt,Zack
Democratic,20220317-asm-irwin-joins-legislators-calling-tax-rebate-rising-gas-prices-and.txt,Democratic,Democratic\20220317-asm-irwin-joins-legislators-calling-tax-rebate-rising-gas-prices-and.txt,Sai
Democratic,20240830-speaker-rivas-statement-lowering-energy-costs.txt,Democratic,Democratic\20240830-speaker-rivas-statement-lowering-energy-costs.txt,Zack
Democratic,20150624-captain-forrest-frields-honored-veteran-year-assemblymember-jacqui-irwin.txt,Democratic,Democratic\20150624-captain-forrest-frields-honored-veteran-year-assemblymember-jacqui-irwin.txt,Sai
Democratic,20200429-covid-19-virtual-town-hall.txt,Democratic,Democratic\20200429-covid-19-virtual-town-hall.txt,Zack
Democratic,20231013-statement-assemblymember-boerner-governor-signing-ab-399.txt,Democratic,Democratic\20231013-statement-assemblymember-boerner-governor-signing-ab-399.txt,Sai
Democratic,20210907-release-laguna-cafe-and-grill-recognized-local-restaurant-spotlight.txt,Democratic,Democratic\20210907-release-laguna-cafe-and-grill-recognized-local-restaurant-spotlight.txt,Zack
Democratic,20211017-gipson-calls-proclamation-emergency-carson-protect-families.txt,Democratic,Democratic\20211017-gipson-calls-proclamation-emergency-carson-protect-families.txt,Sai
Democratic,20211025-release-filomenas-italian-kitchen-market-local-restaurant-spotlight.txt,Democratic,Democratic\20211025-release-filomenas-italian-kitchen-market-local-restaurant-spotlight.txt,Zack
