party,filename,subdir,rel_path,assigned_to
Republican,senator-grove-issues-statement-bakersfield-being-popular-location-millennials.txt,Republican,Republican\senator-grove-issues-statement-bakersfield-being-popular-location-millennials.txt,Zack
Republican,assemblyman-tri-ta-releases-statement-on-college-protests.txt,Republican,Republican\assemblyman-tri-ta-releases-statement-on-college-protests.txt,Sai
Republican,in-case-you-missed-it-newsoms-employment-policies-are-costing-consumers-more-and-driving-up-inflation.txt,Republican,Republican\in-case-you-missed-it-newsoms-employment-policies-are-costing-consumers-more-and-driving-up-inflation.txt,Zack
Republican,icymi-hispanic-caucus-hosts-economic-forum-in-imperial-valley-amid-energy-concerns.txt,Republican,Republican\icymi-hispanic-caucus-hosts-economic-forum-in-imperial-valley-amid-energy-concerns.txt,Sai
Republican,senate-democrats-reject-accountability-illegal-college-protests.txt,Republican,Republican\senate-democrats-reject-accountability-illegal-college-protests.txt,Zack
Republican,sen-groves-measure-increase-penalties-child-sex-buyers-passes-out-assembly-appropriations.txt,Republican,Republican\sen-groves-measure-increase-penalties-child-sex-buyers-passes-out-assembly-appropriations.txt,Sai
Republican,sex-trafficking-of-16-and-17-year-old-children-must-be-punished-with-a-felony.txt,Republican,Republican\sex-trafficking-of-16-and-17-year-old-children-must-be-punished-with-a-felony.txt,Zack
Republican,senator-marie-alvarado-gil-criticizes-governor-newsoms-costly-power-grab-overturn.txt,Republican,Republican\senator-marie-alvarado-gil-criticizes-governor-newsoms-costly-power-grab-overturn.txt,Sai
Republican,senator-choi-recognizes-reach-foundation.txt,Republican,Republican\senator-choi-recognizes-reach-foundation.txt,Zack
Republican,senator-shannon-grove-introduces-school-choice-flex-account-act-2025.txt,Republican,Republican\senator-shannon-grove-introduces-school-choice-flex-account-act-2025.txt,Sai
Republican,assemblyman-tri-ta-celebrates-la-county-board-of-supervisors-decision-regarding-changing-offensive-jane-fonda-day.txt,Republican,Republican\assemblyman-tri-ta-celebrates-la-county-board-of-supervisors-decision-regarding-changing-offensive-jane-fonda-day.txt,Zack
Republican,gallagher-bill-to-provide-tax-relief-for-wildfire-victims-signed-by-governor-09-29-2022.txt,Republican,Republican\gallagher-bill-to-provide-tax-relief-for-wildfire-victims-signed-by-governor-09-29-2022.txt,Sai
Republican,jones-appointed-california-commission-disability-access.txt,Republican,Republican\jones-appointed-california-commission-disability-access.txt,Zack
Republican,joness-measure-protect-foster-kids-child-labor-trafficking-passes-key-senate-committee.txt,Republican,Republican\joness-measure-protect-foster-kids-child-labor-trafficking-passes-key-senate-committee.txt,Sai
Republican,gallagher-state-moving-closer-toward-early-prisoner-release-expansion-07-13-2022.txt,Republican,Republican\gallagher-state-moving-closer-toward-early-prisoner-release-expansion-07-13-2022.txt,Zack
