source,filename,document_date,sentence_index,matched_ai_terms,urls,dois,arxiv,sentence_text
Democratic Assembly,14-key-senator-becker-bills-advance-to-senate-floor.txt,"September 8, 2025",40,ai; artificial intelligence,,,,SB 721 - The California Interagency AI Working Group : Creates the California Interagency Artificial Intelligence (AI) Working Group to produce a biannual report on the implications and safeguards for AI technology.
Democratic Assembly,20150309-legislature-approves-uc-audit.txt,,3,fairness,,,,"“I support the mission of the UC system  to provide exceptional education to our young scholars, but we cannot  compromise fairness in achieving that goal,” stated Gipson."
Democratic Assembly,20160223-hearing-highlights-new-changes-cybersecurity-california.txt,,5,risk assessment,,,,"“We want to identify issues with the State’s governance structure for cybersecurity, including risk assessment and management, incident response planning, and budgeting,” said Assemblymember Jacqui Irwin (D-Thousand Oaks), Chair of the Select Committee on Cybersecurity."
Democratic Assembly,20170224-assemblymember-kalra-announces-list-emergency-service-resources-response.txt,"February 25, 2017",119,ai,,,,"AlertSCC là một phương cách dễ dàng, miễn phí cho bất cứ ai sống hoặc làm việc tại Hạt Santa Clara để nhận các cảnh báo cấp cứu được gửi trực tiếp đến điện thoại di động, thiết bị di động, email hoặc điện thoại của quý vị."
Democratic Assembly,20170711-gipson-appalled-racially-insensitive-photos-taken-judicial-council-staff.txt,,8,bias,,,,"Although the damage is done and the seed is planted, and quite possibly for years to come, we will not tolerate bias from a department whose responsibility is that of justice for all."
Democratic Assembly,20170808-gipson-gives-thumbs-appointment-los-angeles-county-judge-judicial-council.txt,"September 15, 2017",5,fairness,,,,"From his appointment to the Los Angeles County bench in 2002 by Governor Gray Davis to his election as Vice President of the California Judges Association in 2009, Judge Brazile has demonstrated time and time again the importance of promoting judicial fairness and excellence."
Democratic Assembly,20170927-bill-foster-fair-juries-authored-assemblymember-ash-kalra-signed-law.txt,,11,bias; fairness,,,,"Preemptory challenges are often used by attorneys on both sides to ensure fairness by allowing them to excuse who they suspect, but cannot prove, are harboring bias during the voir dire process."
Democratic Assembly,20171009-governor-signs-rubios-bill-enhance-public-safety-allowing-more-appropriate.txt,,6,risk assessment,,,,"Under AB 789, arrestees evaluated using a risk assessment tool that demonstrate they do not pose a safety threat to the community, will be released into a supervised pretrial program – protecting public safety and providing relief to arrestees."
Democratic Assembly,20180306-california-anti-trump-resistance-takes-taxes-new-bill-raises-billions.txt,,13,fairness,,,,AB 2731 is about tax fairness.
Democratic Assembly,20180306-california-anti-trump-resistance-takes-taxes-new-bill-raises-billions.txt,,19,fairness,,,,We have a chance to point to a step towards basic tax fairness.
Democratic Assembly,20181004-quirk-silva-funds-career-technical-education-fullerton-college.txt,,20,automation,,,,"Manufacturing is increasingly adopting welding robots and technicians in automation, and this will keep North Orange County up-to-date with technology used in manufacturing around the globe."
Democratic Assembly,20190212-senator-glazer-assemblywoman-quirk-silva-29-co-authors-unveil-bill-provide.txt,,21,fairness,,,,"âBut itâs also a matter of fairness,â Hanlon said."
Democratic Assembly,20190213-senator-glazer-assemblywoman-quirk-silva-29-co-authors-unveil-bill-0.txt,,22,fairness,,,,"âBut itâs also a matter of fairness,â Hanlon said."
Democratic Assembly,20190219-berman-introduces-bill-prevent-spread-malicious-deepfakes.txt,,7,artificial intelligence,,,,Deepfakes are created using artificial intelligence technology that seamlessly superimposes the movements and words of one person onto another.
Democratic Assembly,20190402-berman-and-students-promote-safe-lot-legislation-homeless-students.txt,,27,bias,,,,"“When we have numbers of student homelessness as high as we do, we should have a bias toward action."
Democratic Assembly,20190624-berman-introduces-legislation-combat-nefarious-deepfakes-protect-election.txt,,10,artificial intelligence,,,,The widely available artificial intelligence technology allows for the creation of lifelike photos and videos of someone falsely appearing to say or do something.
Democratic Assembly,20190909-ramos-requests-ca-attorney-general-collect-data-missing-and-murdered-native.txt,"September 10, 2019",15,bias,,,,"A study by the Urban Indian Health Institute analysis of media and law enforcement agencies concluded that the lack of accurate data on missing and murdered Native American women and girls is due to deeply rooted institutional bias throughout the country, especially for Native American and Alaskan Native women and girls."
Democratic Assembly,20190911-ramos-co-authored-pro-law-enforcement-bill-signed-law.txt,"January 1, 2021",10,bias,,,,"It also includes guidelines for handling mental health crises, bias, and stigma."
Democratic Assembly,20191003-california-clamps-down-nonconsensual-deepfake-pornography.txt,,8,ai,,,,"Created by powerful AI technology, deepfakes make it increasingly difficult to differentiate between truth and fiction."
Democratic Assembly,20191003-new-election-integrity-measure-signed-law-anticipation-2020-election.txt,,14,artificial intelligence,,,,"Earlier this year, the US House of Representatives Permanent Select Committee on Intelligence, led by Congressman Adam Schiff, convened a hearing on the National Security Challenge of Artificial Intelligence, Manipulated Media, and “Deepfakes,” noting that “deepfakes raise profound questions about national security and democratic governances, with individuals and voters no longer able to trust their own eyes or ears when assessing the authenticity of what they see on their screens.” Senator Marco Rubio has also said that he expects deepfakes to be used in “the next wave of attacks against American and Western Democracies.”"
Democratic Assembly,20200311-assemblymember-ash-kalra-and-anti-death-penalty-coalition-announce.txt,,5,bias,,,,"We can no longer accept racial bias in the criminal justice system as unfixable—that is why today, we take the next step forward with introduction of the California Racial Justice Act to prohibit the use of race and ethnicity as a factor in the state’s justice system across the board.”"
Democratic Assembly,20200311-assemblymember-ash-kalra-and-anti-death-penalty-coalition-announce.txt,,6,bias,,,,"“Racial bias in our criminal legal system is pervasive and pernicious,” said Dora Rose, Deputy Director of the League of Women Voters of California."
Democratic Assembly,20200311-assemblymember-ash-kalra-and-anti-death-penalty-coalition-announce.txt,,11,bias,,,,"Supreme Court has since required defendants in criminal cases to prove intentional discrimination when challenging racial bias in their legal process, establishing an unreasonably high standard for victims of racism in the criminal legal system that is almost impossible to meet without direct proof that the racially discriminatory behavior was conscious, deliberate and targeted."
Democratic Assembly,20200311-assemblymember-ash-kalra-and-anti-death-penalty-coalition-announce.txt,,12,bias,,,,"The Court’s majority, however, also observed that State Legislatures concerned about racial bias in the criminal justice system could act to address it."
Democratic Assembly,20200311-assemblymember-ash-kalra-and-anti-death-penalty-coalition-announce.txt,,18,bias,,,,The California Racial Justice Act will go further by prohibiting racial discrimination in all convictions and sentences and creating a process to challenge racial bias at trial or following conviction.
Democratic Assembly,20200311-assemblymember-ash-kalra-and-anti-death-penalty-coalition-announce.txt,,20,bias,,,,"“By establishing a framework for defendants to challenge racism and bias in our criminal courts, I am hopeful that AB 2200, the California Racial Justice Act, will push our justice system to more closely live up to its ideals.”"
Democratic Assembly,20200311-assemblymember-ash-kalra-and-anti-death-penalty-coalition-announce.txt,,21,bias,,,,"“At present, and in our past, racism, anti-ethnic bias and xenophobia act like a venom in our legal system—deeply felt if not always seen, and corrupting our courts even with small doses,” said Derick Morgan, of the Ella Baker Center."
Democratic Assembly,20200603-assemblymember-bermans-statement-murder-george-floyd.txt,,20,bias,,,,"We have passed legislation to restrain the use of force, reform sentencing guidelines that are used to target minorities, and acknowledge the role that unconscious bias plays in perpetuating racism in our society, from education to healthcare."
Democratic Assembly,20200706-assemblymember-ash-kalra-and-advocates-declare-now-time-california-racial.txt,,9,bias,,,,"Racial bias and discrimination determines countless cases, sending innocent men and women behind bars."
Democratic Assembly,20200706-assemblymember-ash-kalra-and-advocates-declare-now-time-california-racial.txt,,14,bias,,,,The McCleskey decision has the functional effect of requiring that criminal defendants prove intentional discrimination when challenging racial bias in their legal process.
Democratic Assembly,20200706-assemblymember-ash-kalra-and-advocates-declare-now-time-california-racial.txt,,16,bias,,,,"The Court’s majority, however, also observed that State Legislatures concerned about racial bias in the criminal justice system could act to address it."
Democratic Assembly,20200706-assemblymember-ash-kalra-and-advocates-declare-now-time-california-racial.txt,,21,bias,,,,The California Racial Justice Act will go further by prohibiting racial discrimination in all convictions and sentences and creating a process to challenge racial bias at trial or following conviction.
Democratic Assembly,20200807-assemblymember-ash-kalras-racial-justice-act-passes-california-senate.txt,,14,bias,,,,"Explicit bias against a defendant based on race, ethnicity, or national origin"
Democratic Assembly,20200807-assemblymember-ash-kalras-racial-justice-act-passes-california-senate.txt,,16,bias,,,,Bias at trial and in jury selection
Democratic Assembly,20200930-governor-signs-landmark-legislation-advancing-racial-justice-california.txt,,9,bias,,,,"Explicit bias against a defendant based on race, ethnicity, or national origin"
Democratic Assembly,20200930-governor-signs-landmark-legislation-advancing-racial-justice-california.txt,,11,bias,,,,Bias at trial and in jury selection
Democratic Assembly,20200930-governor-signs-landmark-legislation-advancing-racial-justice-california.txt,,24,fairness,,,,"“Amidst the upheaval of 2020, we thank Governor Newsom for enacting the Racial Justice Act to prioritize fairness and equal treatment under the law.”"
Democratic Assembly,20200930-governor-signs-landmark-legislation-advancing-racial-justice-california.txt,,38,bias,,,,"“Ella Baker Center stands proudly with Governor Gavin Newsom, our state Legislature, and the athletes, students and advocates in meeting this moment to confront racism and systemic bias in our systems of justice.”"
Democratic Assembly,20200930-governor-signs-landmark-legislation-advancing-racial-justice-california.txt,,42,bias,,,,We can’t continue to allow racially coded language that triggers bias in the courtroom.
Democratic Assembly,20200930-governor-signs-landmark-legislation-advancing-racial-justice-california.txt,,48,bias,,,,"“By establishing a framework for defendants to challenge the systemic racism and bias in our criminal courts, I am hopeful that the RJA will push our justice system to more closely live up to its ideals.”"
Democratic Assembly,20201001-governor-newsom-signs-legislation-reforming-police-officer-recruitment-and.txt,"September 30, 2020",2,bias,,,,"This bill will require the Commission on Peace Officer Standards and Training (POST) to develop a process to identify explicit and implicit bias against race or ethnicity, gender, nationality, religion, disability, or sexual orientation in applicants during the pre-employment emotional and mental condition evaluations."
Democratic Assembly,20201001-governor-newsom-signs-legislation-reforming-police-officer-recruitment-and.txt,"September 30, 2020",4,bias,,,,“I applaud Governor Newsom for taking action to address the profoundly important issue of bias in policing.
Democratic Assembly,20201118-assemblymember-jesse-gabriel-serve-chair-california-legislative-jewish.txt,,30,bias,,,,"The Jewish Caucus also has advanced a robust legislative agenda, helped to remove anti-Jewish bias from a proposed ethnic studies curriculum, and brought a diverse group of 16 legislators to visit Israel."
Democratic Assembly,20210115-assemblymember-kalra-announces-new-california-racial-justice-act-all.txt,"January 1, 2021",0,bias,,,,The legislation challenging racial bias in court cases would ensure the recently-signed Racial Justice Act can be applied retroactively for all Californians
Democratic Assembly,20210115-assemblymember-kalra-announces-new-california-racial-justice-act-all.txt,"January 1, 2021",9,bias,,,,"“While passing last year’s bill was a major step towards addressing institutionalized and implicit racial bias in our courts, the work is not done."
Democratic Assembly,20210115-assemblymember-kalra-announces-new-california-racial-justice-act-all.txt,"January 1, 2021",16,bias,,,,"While AB 2542 made it possible for a person charged or convicted of a crime to challenge racial bias in their case, it was prospective only, excluding judgments rendered prior to Jan."
Democratic Assembly,20210115-assemblymember-kalra-announces-new-california-racial-justice-act-all.txt,"January 1, 2021",18,bias,,,,"“Racial bias in our criminal legal system is pervasive and pernicious,” said"
Democratic Assembly,20210115-assemblymember-kalra-announces-new-california-racial-justice-act-all.txt,"January 1, 2021",21,bias,,,,"“The Racial Justice Act, passed last year, gives people the opportunity to challenge racial bias in the criminal legal process if it occurs after January 1, 2021."
Democratic Assembly,20210115-assemblymember-kalra-announces-new-california-racial-justice-act-all.txt,"January 1, 2021",23,bias,,,,It is now vital to extend this groundbreaking reform so that it’s available to everyone who has been unfairly imprisoned or sentenced as the result of bias in our justice system.”
Democratic Assembly,20210115-assemblymember-kalra-announces-new-california-racial-justice-act-all.txt,"January 1, 2021",24,bias,,,,"“In establishing a framework for defendants to challenge the known systemic racism and bias in our criminal courts, the Racial Justice Act was a tremendous step forward,” said"
Democratic Assembly,20210115-assemblymember-kalra-announces-new-california-racial-justice-act-all.txt,"January 1, 2021",31,bias,,,,“Protections against racial bias and unfair sentencing schemes at work in our criminal legal system must be extended to all.
Democratic Assembly,20210115-assemblymember-kalra-announces-new-california-racial-justice-act-all.txt,"January 1, 2021",38,bias,,,,The McCleskey decision has the functional effect of requiring that criminal defendants prove intentional discrimination when challenging racial bias in their legal process.
Democratic Assembly,20210115-assemblymember-kalra-announces-new-california-racial-justice-act-all.txt,"January 1, 2021",39,bias,,,,"This unreasonably high standard is almost impossible to meet without direct proof that the racially discriminatory behavior was conscious, deliberate, and targeted, thereby hindering legal means for a person to remedy racial bias in their case."
Democratic Assembly,20210115-assemblymember-kalra-announces-new-california-racial-justice-act-all.txt,"January 1, 2021",40,bias,,,,"The Court’s majority, however, also observed that State Legislatures concerned about racial bias in the criminal justice system could act to address it."
