party,press_release,claim_number,chars,words
Democratic,20241226-new-year-new-laws.txt,1,109,11
Democratic,20241226-new-year-new-laws.txt,2,137,13
Democratic,20241226-new-year-new-laws.txt,3,102,8
Democratic,20241226-new-year-new-laws.txt,4,138,15
Democratic,20241226-new-year-new-laws.txt,5,104,11
Democratic,20241226-new-year-new-laws.txt,6,120,13
Democratic,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,1,148,17
Democratic,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,2,113,11
Democratic,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,3,197,21
Democratic,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,4,92,9
Republican,assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,1,122,10
Republican,assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,2,105,9
Republican,assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,3,100,10
Republican,assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,4,69,7
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,1,67,7
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,2,82,9
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,3,125,12
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,1,112,12
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,2,112,10
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,3,119,12
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,4,92,10
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,5,104,11
