key,year,count
doi:10.1542/peds.2023-063954,,4
title:artificial intelligence and child sexual abuse: a rapid evidence assessment,2025,4
doi:10.1186/s40163-024-00239-1,,4
"title:non-consensual synthetic intimate imagery: prevalence, attitudes, and knowledge in 10 countries",2024,4
doi:10.1001/jamanetworkopen.2022.34471,,4
doi:10.48550/arxiv.1802.07228,,4
doi:10.1145/3442188.3445922,,4
title:leveraging self-supervised learning for scene classification in child sexual abuse imagery,2024,3
title:guarding the guardians: automated analysis of online child sexual abuse,2023,3
doi:10.1016/j.chiabu.2023.106020,,3
doi:10.1126/science.adn0117,,3
doi:10.48550/arxiv.1606.06565,,3
doi:10.1111/jols.12527,,3
doi:10.3390/laws13060067,,3
doi:10.1177/14773708231181361,,3
doi:10.1007/s11229-022-04012-2,,3
doi:10.1093/bjc/azab111,,2
doi:10.1007/s12119-023-10091-1,,2
doi:10.1007/s00138-022-01318-6,,2
title:detecting sexually explicit content in the context of the child sexual abuse materials (csam): end-to-end classifiers and region-based networks,2024,2
doi:10.1177/15248380221147564,,2
doi:10.1177/2056305120903408,,2
doi:10.1177/1940161220944364,,2
doi:10.1177/02673231231184703,,2
doi:10.1086/732990,,2
doi:10.1017/s0003055423001454,,2
doi:10.1057/s41304-024-00482-9,,2
doi:10.1038/s41467-024-51998-z,,2
doi:10.1093/jcmc/zmac008,,2
doi:10.1177/14614448241253138,,2
doi:10.1073/pnas.2120481119,,2
doi:10.3389/fpsyg.2025.1599087,,2
doi:10.1002/jad.12064,,2
doi:10.48550/arxiv.2111.06628,,2
doi:10.48550/arxiv.2108.07258,,2
doi:10.1111/1758-5899.12718,,2
doi:10.1177/15248380231207896,,2
doi:10.1177/15248380241268835,,2
"title:""violation of my body:"" perceptions of ai-generated non-consensual (intimate) imagery",2024,2
doi:10.1109/tdsc.2023.3324275,,2
