party,press_release,claim_number,claim_text,provider,id,doi,title,abstract,year,venue,authors,url,is_open_access
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,publisher,10.1542/peds.2023-063954,10.1542/peds.2023-063954,Rising Threats of AI-Driven Child Sexual Abuse Material,"Perspective outlining how generative AI enables creation and spread of virtual CSAM, complicating investigations and posing clinical, legal, and policy challenges for protecting children.",2024,Pediatrics,Shruthi Krishna; Fiona Dubrosa; Ruth Milanaik,https://publications.aap.org/pediatrics/article/153/2/e2023063954/196409,False
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,publisher,AIC-tandi711-2025,,Artificial intelligence and child sexual abuse: A rapid evidence assessment,"Peer‑reviewed government report synthesizing empirical research on how AI is used to perpetrate and to combat child sexual abuse, highlighting gaps and research priorities.",2025,Trends & Issues in Crime and Criminal Justice,Heather Wolbers; Timothy Cubitt; Michael Cahill,https://www.aic.gov.au/publications/tandi/tandi711,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,publisher,10.1186/s40163-024-00239-1,10.1186/s40163-024-00239-1,Threat of deepfakes to the criminal justice system: a systematic review,"Systematic review mapping how AI‑generated synthetic media, including sexual deepfakes, threaten investigations, evidence integrity, and prosecution, and summarizing mitigation strategies.",2024,Crime Science,Maria-Paz Sandoval; Maria de Almeida Vau; John Solaas; Luano Rodrigues,https://link.springer.com/article/10.1186/s40163-024-00239-1,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,publisher,10.1093/bjc/azab111,10.1093/bjc/azab111,Deepfakes and Digitally Altered Imagery Abuse: A Cross-Country Exploration of an Emerging form of Image-Based Sexual Abuse,"Empirical study across the UK, New Zealand, and Australia showing how deepfake and altered sexual imagery constitute a serious, growing form of image‑based abuse with policy and policing challenges.",2022,The British Journal of Criminology,Asher Flynn; Anastasia Powell; Adrian J. Scott; Elena Cama,https://academic.oup.com/bjc/article/62/6/1341/6448791,False
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,publisher,10.1007/s12119-023-10091-1,10.1007/s12119-023-10091-1,The Characteristics of Virtual Child Sexual Abuse Material Offenders and the Harms of Offending: A Qualitative Content Analysis of Print Media,"Qualitative analysis of media reports on virtual CSAM offending, describing offender characteristics, harms, and narratives around legality and risk escalation.",2023,Sexuality & Culture,Larissa S. Christensen; Naomi Vickery,https://link.springer.com/article/10.1007/s12119-023-10091-1,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,publisher,10.1007/s00138-022-01318-6,10.1007/s00138-022-01318-6,A deep learning framework for finding illicit images/videos of children,Presents and evaluates a deep learning pipeline for identifying illicit images and videos of children to aid digital forensics and triage.,2022,Machine Vision and Applications,Jared Rondeau; Douglas Deslauriers; Thomas Howard III; Marco Alvarez,https://link.springer.com/article/10.1007/s00138-022-01318-6,False
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,arXiv,arXiv:2406.14131,,Detecting sexually explicit content in the context of the child sexual abuse materials (CSAM): end-to-end classifiers and region-based networks,Explores end‑to‑end and region‑based deep models for sexually explicit content detection as a component of automated CSAM moderation under stringent data‑access constraints.,2024,arXiv,Weronika Gutfeter; Joanna Gajewska; Andrzej Pacut,https://arxiv.org/abs/2406.14131,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,arXiv,arXiv:2403.01183,,Leveraging Self-Supervised Learning for Scene Classification in Child Sexual Abuse Imagery,"Investigates self‑supervised scene classification to assist CSAM investigations without training directly on sensitive content, reporting performance and domain shift issues.",2024,arXiv,Pedro H. V. Valois; João Macedo; Leo S. F. Ribeiro; Jefersson A. dos Santos; Sandra Avila,https://arxiv.org/abs/2403.01183,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,arXiv,arXiv:2212.11261,,Contrastive Language-Vision AI Models Pretrained on Web-Scraped Multimodal Data Exhibit Sexual Objectification Bias,"Shows that popular multimodal and generative models can produce sexualized images from prompts such as “a [age]-year-old girl,” underscoring risks of AI systems sexualizing minors.",2022,arXiv,Robert Wolfe; Yiwei Yang; Bill Howe; Aylin Caliskan,https://arxiv.org/abs/2212.11261,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,publisher,10.25740/jv206yg3793,10.25740/jv206yg3793,Generative ML and CSAM: Implications and Mitigations,Joint report analyzes how generative image models enable creation and distribution of realistic CSAM and proposes mitigation steps across the model and platform lifecycle.,2023,Stanford Internet Observatory (report),David Thiel; Melissa Stroebel; Rebecca Portnoff,https://cyber.fsi.stanford.edu/io/publication/generative-ml-and-csam-implications-and-mitigations,True
