,name,district,title,link,date,party
0,Stephanie Nguyen,10,Assemblymember Stephanie Nguyen’s Bill to Restore Judicial Discretion in Mental Health Diversion Cases Passes Assembly Floor,https://a10.asmdc.org/press-releases/20250519-assemblymember-stephanie-nguyens-bill-restore-judicial-discretion-mental,"Monday, May 19, 2025",Democrat
1,Stephanie Nguyen,10,Joint Statement from Assemblymember Nick Schultz and Stephanie Nguyen Announce Stronger AB 379 to Protect Minors and Support Trafficking Survivors,https://a10.asmdc.org/press-releases/20250506-joint-statement-assemblymember-nick-schultz-and-stephanie-nguyen-announce,"Tuesday, May 6, 2025",Democrat
2,Stephanie Nguyen,10,Assemblymember Stephanie Nguyen’s Bill to Restore Judicial Discretion in Mental Health Diversion Cases Passes Key Committee,https://a10.asmdc.org/press-releases/20250505-assemblymember-stephanie-nguyens-bill-restore-judicial-discretion-mental,"Monday, May 5, 2025",Democrat
3,Stephanie Nguyen,10,"Assemblymember Nguyen Secured and Presented $500,000 in State Funding to Help Launch Meadowview Farmers’ Market",https://a10.asmdc.org/press-releases/20240609-assemblymember-nguyen-secured-and-presented-500000-state-funding-help,"Sunday, June 9, 2024",Democrat
4,Stephanie Nguyen,10,Assemblymember Stephanie Nguyen Announces AB 2576 to Address Mental Health Diversion in Attempted Murder Cases,https://a10.asmdc.org/press-releases/20240425-assemblymember-stephanie-nguyen-announces-ab-2576-address-mental-health,"Thursday, April 25, 2024",Democrat
5,Stephanie Nguyen,10,Assemblymember Nguyen and Assemblymember Patterson Announce ACR 150 and AB 3156 For Disabilities Awareness Month,https://a10.asmdc.org/press-releases/20240321-assemblymember-nguyen-and-assemblymember-patterson-announce-acr-150-and-ab,"Thursday, March 21, 2024",Democrat
6,Stephanie Nguyen,10,Assemblymember Nguyen Announces AB 3042 with Attorney General Bonta to Remove Sunset Funding for DNA Crime Labs,https://a10.asmdc.org/press-releases/20240304-assemblymember-nguyen-announces-ab-3042-attorney-general-bonta-remove,"Monday, March 4, 2024",Democrat
7,Stephanie Nguyen,10,Assemblymember Stephanie Nguyen Introduces AB 2576 For Diversion: Attempted Murder,https://a10.asmdc.org/press-releases/20240215-assemblymember-stephanie-nguyen-introduces-ab-2576-diversion-attempted,"Thursday, February 15, 2024",Democrat
8,Stephanie Nguyen,10,Assemblywoman Secures Traffic Sign Dedication  Honoring the Life of Fallen Detective Vu Nguyen,https://a10.asmdc.org/press-releases/20231215-assemblywoman-secures-traffic-sign-dedication-honoring-life-fallen,"Friday, December 15, 2023",Democrat
9,Stephanie Nguyen,10,Nguyen’s California Right to Financial Privacy Act Signed Into Law by Governor Newsom,https://a10.asmdc.org/press-releases/20231008-nguyens-california-right-financial-privacy-act-signed-law-governor-newsom,"Sunday, October 8, 2023",Democrat
