source,filename,document_date,num_sentences,ai_statement_count,matched_ai_terms,unique_urls_count,unique_dois_count,unique_arxiv_count,has_ai,party,ai_category,assigned_to,double_annotate
Republican Assembly,assemblyman-jeff-gonzalez-statement-on-being-appointed-as-vice-chair-of-assembly-committee-on-military-and-veterans-affairs.txt,"April 21, 2025",12,0,,0,0,0,False,Republican,nonai,Zack,0
Republican Assembly,assemblymember-dixon-shares-concerns-at-cec-meeting-for-proposed-battery-storage-location-in-south-orange-county.txt,"May 30, 2025",15,0,,0,0,0,False,Republican,nonai,Sai,0
Republican Assembly,assemblyman-jeff-gonzalez-statement-on-the-announcement-of-lithium-valley-specific-plan.txt,"February 11, 2025",12,0,,0,0,0,False,Republican,nonai,Zack,0
Republican Assembly,senate-appropriations-what-we-will-see-floor.txt,,36,0,,0,0,0,False,Republican,nonai,Sai,1
Republican Assembly,senate-appropriations-what-we-will-see-floor.txt,,36,0,,0,0,0,False,Republican,nonai,Zack,1
Republican Assembly,bipartisan-efforts-brian-jones-and-antonio-villaraigosa-break-ground-expanded-broadband.txt,,75,0,,0,0,0,False,Republican,nonai,Zack,0
Republican Assembly,bill-provide-funding-preschool-parent-participation-programs-clears-first-hurdle.txt,"March 31, 2022",50,0,,0,0,0,False,Republican,nonai,Sai,0
Republican Assembly,senate-republican-leader-groves-statement-taft-correctional-institution.txt,"January 30, 2020",57,0,,0,0,0,False,Republican,nonai,Zack,0
Republican Assembly,assembly-budget-vice-chair-process-broken-california-cannot-afford-this-unsustainable-budget.txt,,15,0,,0,0,0,False,Republican,nonai,Sai,0
Republican Assembly,senate-republican-leader-grove-commemorates-155th-anniversary-juneteenth.txt,,61,0,,0,0,0,False,Republican,nonai,Zack,0
Republican Assembly,senate-minority-leader-jones-welcomes-senator-alvarado-gil-senate-republican-caucus.txt,,82,0,,0,0,0,False,Republican,nonai,Sai,0
Republican Assembly,senator-ochoa-boghs-statement-regarding-proposition-47.txt,,49,0,,0,0,0,False,Republican,nonai,Zack,0
Republican Assembly,fair-elections-and-representation-are-risk.txt,,38,0,,0,0,0,False,Republican,nonai,Sai,0
Republican Assembly,senator-valladares-joint-authors-no-tax-tips-bill-demands-relief-hardworking-californians.txt,,45,0,,0,0,0,False,Republican,nonai,Zack,1
Republican Assembly,senator-valladares-joint-authors-no-tax-tips-bill-demands-relief-hardworking-californians.txt,,45,0,,0,0,0,False,Republican,nonai,Sai,1
Republican Assembly,sen-marie-alvarado-gil-shine-light-small-business-excellence-senators-choice-award.txt,,44,0,,0,0,0,False,Republican,nonai,Sai,0
Republican Assembly,senator-valladares-calls-smarter-spending-and-focus-real-solutions-californians-response.txt,,45,0,,0,0,0,False,Republican,nonai,Zack,0
Republican Assembly,assemblywoman-leticia-castillo-introduced-first-bill-aimed-at-promoting-adoption-for-teens-facing-unplanned-pregnancies.txt,,17,0,,0,0,0,False,Republican,nonai,Sai,0
Republican Assembly,senate-republican-leader-grove-responds-another-record-spending-budget.txt,,65,0,,0,0,0,False,Republican,nonai,Zack,0
Republican Assembly,east-county-californian-mandating-electronic-purchase-receipts-ignores-privacy-and-digital.txt,,85,0,,0,0,0,False,Republican,nonai,Sai,1
Republican Assembly,east-county-californian-mandating-electronic-purchase-receipts-ignores-privacy-and-digital.txt,,85,0,,0,0,0,False,Republican,nonai,Zack,1
Republican Assembly,landmark-bill-to-address-californias-most-pressing-issue-passes-assembly.txt,,14,0,,0,0,0,False,Republican,nonai,Zack,1
Republican Assembly,landmark-bill-to-address-californias-most-pressing-issue-passes-assembly.txt,,14,0,,0,0,0,False,Republican,nonai,Sai,1
Republican Assembly,parking-senator-brian-jones-office-grand-opening.txt,,76,0,,0,0,0,False,Republican,nonai,Sai,0
Republican Assembly,senator-ochoa-bogh-introduces-statewide-blue-envelope-program-improve-safety-individuals.txt,,58,0,,0,0,0,False,Republican,nonai,Zack,0
Republican Assembly,senate-minority-leader-jones-introduces-bill-repeal-newsoms-65-cent-gas-price-hike.txt,"November 8, 2024",84,0,,0,0,0,False,Republican,nonai,Sai,0
Republican Assembly,alanis-announces-bipartisan-support-on-public-safety-bills.txt,,12,0,,0,0,0,False,Republican,nonai,Zack,0
Republican Assembly,alanis-parental-notification-education-bill-signed-into-law.txt,,12,0,,0,0,0,False,Republican,nonai,Sai,0
Republican Assembly,gallagher-statement-on-bi-partisan-measure-to-suspend-californias-gas-tax-04-28-2022.txt,,7,0,,0,0,0,False,Republican,nonai,Zack,0
