party,filename,subdir,rel_path,assigned_to
Republican,gallagher-slams-legislative-democrats-for-backing-gavins-gas-tax.txt,Republican,Republican\gallagher-slams-legislative-democrats-for-backing-gavins-gas-tax.txt,Zack
Republican,in-case-you-missed-it-while-newsom-was-gone-californias-jobless-ranking-got-even-worse.txt,Republican,Republican\in-case-you-missed-it-while-newsom-was-gone-californias-jobless-ranking-got-even-worse.txt,Sai
Republican,gallagher-statement-on-assembly-committee-changes.txt,Republican,Republican\gallagher-statement-on-assembly-committee-changes.txt,Zack
Republican,newsom-scrambles-after-refineries-abandon-california.txt,Republican,Republican\newsom-scrambles-after-refineries-abandon-california.txt,Sai
Republican,gallagher-calls-for-federal-audit-of-soaring-medi-cal-costs.txt,Republican,Republican\gallagher-calls-for-federal-audit-of-soaring-medi-cal-costs.txt,Zack
Republican,for-immediate-release-assemblywoman-laurie-davies-bill-promoting-apprenticeships-to-high-schoolers-signed-into-law.txt,Republican,Republican\for-immediate-release-assemblywoman-laurie-davies-bill-promoting-apprenticeships-to-high-schoolers-signed-into-law.txt,Sai
Republican,its-been-200-days-since-you-were-promised-gas-price-relief-09-23-2022.txt,Republican,Republican\its-been-200-days-since-you-were-promised-gas-price-relief-09-23-2022.txt,Zack
Republican,gallagher-reacts-to-democrats-latest-budget-proposal-06-02-2022.txt,Republican,Republican\gallagher-reacts-to-democrats-latest-budget-proposal-06-02-2022.txt,Sai
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-the-natural-resources-committee.txt,Republican,Republican\assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-the-natural-resources-committee.txt,Zack
Republican,asambleista-jeff-gonzalez-introduce-resolucion-para-reconocer-los-derechos-de-individuos-con-discapacidades-de-desarrollo-a-recibir-atencion-medica.txt,Republican,Republican\asambleista-jeff-gonzalez-introduce-resolucion-para-reconocer-los-derechos-de-individuos-con-discapacidades-de-desarrollo-a-recibir-atencion-medica.txt,Sai
Republican,gallagher-statement-on-passage-of-budget-proposal.txt,Republican,Republican\gallagher-statement-on-passage-of-budget-proposal.txt,Zack
Republican,gallagher-calls-for-special-session-to-combat-homeless-crisis-01-07-2022.txt,Republican,Republican\gallagher-calls-for-special-session-to-combat-homeless-crisis-01-07-2022.txt,Sai
Republican,for-immediate-release-assemblywoman-laurie-davies-bill-requiring-sober-living-homes-to-post-infractions-signed-into-law.txt,Republican,Republican\for-immediate-release-assemblywoman-laurie-davies-bill-requiring-sober-living-homes-to-post-infractions-signed-into-law.txt,Zack
Republican,gallagher-reacts-to-governor-newsoms-shortchanged-water-proposal-08-11-2022.txt,Republican,Republican\gallagher-reacts-to-governor-newsoms-shortchanged-water-proposal-08-11-2022.txt,Sai
Republican,for-immediate-release-assemblymember-davies-introduces-bill-to-bolster-protections-for-sexual-assault-victims.txt,Republican,Republican\for-immediate-release-assemblymember-davies-introduces-bill-to-bolster-protections-for-sexual-assault-victims.txt,Zack
