source,filename,document_date,num_sentences,num_mentions,num_ai_mentions,num_science_mentions,num_claim_like,unique_urls_count,unique_dois_count,unique_arxiv_count,unique_other_refs_count,has_any_reference
Democratic Assembly,20141201-gipson-takes-oath-newest-assemblymember-64th-district.txt,,10,3,3,0,0,0,0,0,0,False
Democratic Assembly,20141201-irwin-takes-oath-newest-assemblymember-44th-district.txt,,10,2,2,0,0,0,0,0,0,False
Democratic Assembly,20150115-assemblymember-irwin-announces-2-million-tax-credits-awarded-local.txt,,20,3,2,1,0,0,0,0,0,False
Democratic Assembly,20150204-irwin-appointed-commission-status-women-and-girls.txt,,15,4,3,0,0,0,0,0,1,True
Democratic Assembly,20150209-oversight-hearing-calls-audit-uc-budget.txt,,24,9,7,1,0,1,0,0,0,True
Democratic Assembly,20150220-assemblymember-jacqui-irwin-appointed-chair-select-committee-cybersecurity.txt,,19,7,6,0,0,1,0,0,0,True
Democratic Assembly,20150223-assemblymember-irwin-introduces-bill-help-people-disabilities-save-money.txt,,22,5,4,0,0,1,0,0,0,True
Democratic Assembly,20150224-assemblywoman-jacqui-irwin-and-attorney-general-kamala-d-harris-announce.txt,,21,10,7,2,1,1,0,0,0,True
Democratic Assembly,20150226-tax-exemption-proposed-terminally-ill-patients-medicinal-marijuana.txt,,12,5,5,0,0,0,0,0,0,False
Democratic Assembly,20150227-bill-restore-local-authority-community-college.txt,,13,0,0,0,0,0,0,0,0,False
Democratic Assembly,20150303-assemblywoman-jacqui-irwin-announces-legislative-package-focusing-improving.txt,,25,5,4,1,1,0,0,0,0,False
Democratic Assembly,20150308-assemblywoman-irwin-honors-ventura-county-supervisor-kathy-long-2015-woman.txt,,15,4,3,0,0,1,0,0,0,True
Democratic Assembly,20150309-assemblymember-gipson-leads-effort-oppose-controversial-monument-carson.txt,,20,6,5,2,0,0,0,0,0,False
Democratic Assembly,20150309-legislature-approves-uc-audit.txt,,15,10,9,0,0,1,0,0,0,True
Democratic Assembly,20150514-community-college-basic-skills-fund-championed-assemblymember-irwin.txt,,10,4,2,2,0,1,0,0,0,True
