party,uid,nli_deberta,nli_bart,llm:Qwen/Qwen2.5-3B-Instruct,llm:microsoft/Phi-3.5-mini-instruct,llm:allenai/OLMo-2-1124-7B-Instruct,claim,title
dem,dem|20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt|5|10.1177/0361198119840340,silent,silent,silent,support,silent,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Effect of Heavy-Truck Platooning Fuel-Efficiency Gains on Overall Fuel Efficiency
dem,dem|20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt|5|10.4271/2020-01-0679,silent,silent,silent,silent,silent,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Impact of Mixed Traffic on the Energy Savings of a Truck Platoon
dem,dem|20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt|5|10.4271/2018-01-0123,silent,silent,silent,support,support,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Class-8 Trucks with Standard-Trailers Net a Fuel Savings of Between 5.2 and 7.8 Percent in a Three-Truck CACC Platoon. W
dem,dem|20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt|5|10.4271/2018-01-0124,silent,silent,silent,support,support,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Simulation Analysis Estimates Fuel Savings of Up to 12.3 Percent Using Long-Horizon Predictive Cruise Control in Truck P
dem,dem|20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt|5|10.4271/2020-01-0678,silent,silent,silent,support,support,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Vehicle Platooning Impact on Drag Coefficients and Energy/Fuel Saving Implications
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|3|https://a25.asmdc.org/press-releases/20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory,silent,silent,refute,refute,silent,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",Assemblymember Ash Kalra Commends California Supreme Court Ruling on Predatory Lending
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|3|https://advocacy.consumerreports.org/press_release/assembly-fails-to-approve-bill-to-protect-consumers-from-predatory-installment-loans/,support,support,refute,support,support,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",Assembly fails to approve bill to protect consumers from predatory installment loans
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|3|https://www.responsiblelending.org/media/bill-stop-predatory-lending-clears-key-committee-hurdle,silent,silent,refute,refute,refute,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",Bill to Stop Predatory Lending Clears Key Committee Hurdle
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|15|10.1126/sciadv.ade1234,silent,silent,refute,support,support,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,Low-intensity fires mitigate the risk of high-intensity wildfires in California's forests
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|15|10.1126/sciadv.ade5678,silent,refute,refute,support,support,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,Twenty-year study confirms California forests are healthier when burned — or thinned
