party,uid,nli_deberta,nli_bart,claim,title
dem,dem|20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt|5|10.4271/2018-01-1181,silent,silent,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Influences on Energy Savings of Heavy Trucks Using Cooperative Adaptive Cruise Control
dem,dem|20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt|5|10.1155/2020/2604012,silent,silent,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Fuel Economy in Truck Platooning: A Literature Overview and Directions for Future Research
dem,dem|20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt|5|https://openalex.org/W2135875165,silent,silent,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,OVERVIEW OF PLATOONING SYSTEMS
dem,dem|20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt|5|10.1109/tits.2013.2291493,silent,silent,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Controller Synthesis for String Stability of Vehicle Platoons
dem,dem|20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt|5|https://openalex.org/W421720248,silent,silent,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Truck platooning: driving the future of transportation
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|1|https://openalex.org/W1558901108,silent,silent,"High-interest rates on loans above $2,500 are deemed 'unconscionable' by the California Supreme Court.",A Consent Theory of Unconscionability: An Empirical Study of Law in Action
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|1|https://openalex.org/W1579889983,silent,silent,"High-interest rates on loans above $2,500 are deemed 'unconscionable' by the California Supreme Court.",The Rise and Fall of Unconscionability as the 'Law of the Poor'
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|1|https://openalex.org/W2227732837,silent,silent,"High-interest rates on loans above $2,500 are deemed 'unconscionable' by the California Supreme Court.",Blowing the Whistle on Mandatory Arbitration: Unconscionability as a Signaling Device
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|1|https://openalex.org/W188192241,silent,silent,"High-interest rates on loans above $2,500 are deemed 'unconscionable' by the California Supreme Court.",Unconscionability and the Contingent Assumptions of Contract Theory
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|1|https://openalex.org/W3122358106,silent,silent,"High-interest rates on loans above $2,500 are deemed 'unconscionable' by the California Supreme Court.",The Unconscionability Game: Strategic Judging and the Development of Federal Arbitration Law
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|3|10.1177/0731121417743728,silent,refute,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.","Nested Contexts of Reception: Undocumented Students at the University of California, Central"
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|3|10.1007/s11077-006-9022-7,silent,refute,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",The allure of technology: How France and California promoted electric and hybrid vehicles to reduce urban air pollution
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|3|10.1017/s0143814x16000179,silent,silent,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",Defending the status quo across venues and coalitions: evidence from California interest groups
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|3|https://openalex.org/W1728021200,silent,silent,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",Decolonization is not a metaphor
dem,dem|20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt|3|https://openalex.org/W192454047,silent,silent,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.","Failed States, or the State as Failure?"
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|7|https://openalex.org/W1599874035,silent,silent,Extending the time for consumers to recoup their losses after a fire will minimize stressful battles with insurance companies.,"The Fundamental Goal of Antitrust: Protecting Consumers, Not Increasing Efficiency"
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|7|https://openalex.org/W3122148702,silent,silent,Extending the time for consumers to recoup their losses after a fire will minimize stressful battles with insurance companies.,Amazon's Antitrust Paradox
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|7|10.20955/r.88.337-380,silent,silent,Extending the time for consumers to recoup their losses after a fire will minimize stressful battles with insurance companies.,Should the Government Provide Insurance for Catastrophes?
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|7|10.2307/796812,silent,silent,Extending the time for consumers to recoup their losses after a fire will minimize stressful battles with insurance companies.,Toward Unlimited Shareholder Liability for Corporate Torts
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|7|10.1007/s10530-017-1406-4,silent,silent,Extending the time for consumers to recoup their losses after a fire will minimize stressful battles with insurance companies.,Economics of invasive species policy and management
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|15|10.1073/pnas.1617464114,silent,silent,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,Adapt to more wildfire in western North American forests as climate changes
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|15|10.1088/1748-9326/ac462e,silent,silent,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,Assessing the role of compound drought and heatwave events on unprecedented 2020 wildfires in the Pantanal
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|15|10.1186/s42408-019-0041-0,silent,silent,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,"Twenty-first century California, USA, wildfires: fuel-dominated vs. wind-dominated fires"
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|15|10.2458/v15i1.21686,silent,silent,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,"The political ecology of hazard vulnerability: marginalization, facilitation and the production of differential risk to "
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|15|10.3390/fire2030049,silent,silent,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,Factors Associated with Structure Loss in the 2013–2018 California Wildfires
dem,dem|20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt|6|10.14507/epaa.27.3722,silent,silent,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",Strategies for attracting and retaining educators: What does the evidence say?
dem,dem|20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt|6|10.1080/03054985.2020.1775566,silent,silent,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",What works in attracting and retaining teachers in challenging schools and areas?
dem,dem|20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt|6|https://openalex.org/W3164126935,silent,silent,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.","Worthy Work, STILL Unlivable Wages: The Early Childhood Workforce 25 Years after the National Child Care Staffing Study"
dem,dem|20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt|6|10.1080/10495142.2015.1015373,silent,silent,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",Recruiting and Retaining Older Adult Volunteers: Implications for Practice
dem,dem|20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt|6|10.15365/joce.0802042013,silent,refute,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",Hiring and Retaining High-Quality Teachers: What Principals Can Do
dem,dem|20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt|4|10.1002/cb.2055,silent,silent,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",Understanding high‐involvement product purchase through an innovative machine learning approach: A case of housing type 
dem,dem|20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt|4|https://openalex.org/W3113230982,silent,silent,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",Indigenous Coaches and the National Aboriginal Hockey Championships
dem,dem|20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt|4|10.1186/s12939-021-01617-w,silent,silent,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",Reducing the equity gap in child health care and health system reforms in Latin America
dem,dem|20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt|4|10.5430/afr.v9n4p85,silent,silent,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",Can Build-To-Rent Generate Affordable Housing Outcomes? A Whole-Life Costing Approach to Investment Analysis
dem,dem|20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt|4|10.1136/bmjopen-2020-048540,silent,silent,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.","Surgical procedures for children in the public healthcare sector: a nationwide, facility-based study in Uganda"
dem,dem|20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt|3|10.1007/s10488-010-0319-7,silent,silent,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,"Outcomes for Implementation Research: Conceptual Distinctions, Measurement Challenges, and Research Agenda"
dem,dem|20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt|3|10.2337/dci18-0007,silent,silent,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,Economic Costs of Diabetes in the U.S. in 2017
dem,dem|20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt|3|10.2337/dc13-s011,silent,silent,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,Standards of Medical Care in Diabetes—2013
dem,dem|20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt|3|10.1086/511159,silent,silent,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,Infectious Diseases Society of America/American Thoracic Society Consensus Guidelines on the Management of Community-Acq
dem,dem|20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt|3|10.1001/jama.293.11.1348,silent,silent,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,Potentially Inappropriate Medication Use Among Elderly Home Care Patients in Europe
dem,dem|20190904-ramos-early-suicide-prevention-bill-clears-senate.txt|4|10.1186/s12909-016-0841-8,silent,silent,"At the beginning of the 2018 school year, 4 students died by suicide in the first two weeks of the school.",Perceived stress in first year medical students - associations with personal resources and emotional distress
dem,dem|20190904-ramos-early-suicide-prevention-bill-clears-senate.txt|4|10.1542/peds.2022-058375,support,silent,"At the beginning of the 2018 school year, 4 students died by suicide in the first two weeks of the school.",Youth Suicide During the First Year of the COVID-19 Pandemic
dem,dem|20190904-ramos-early-suicide-prevention-bill-clears-senate.txt|4|10.1001/jamapediatrics.2015.0465,silent,silent,"At the beginning of the 2018 school year, 4 students died by suicide in the first two weeks of the school.",Suicide Trends Among Elementary School–Aged Children in the United States From 1993 to 2012
dem,dem|20190904-ramos-early-suicide-prevention-bill-clears-senate.txt|4|10.1002/aur.2076,silent,silent,"At the beginning of the 2018 school year, 4 students died by suicide in the first two weeks of the school.",A 20‐year study of suicide death in a statewide autism population
dem,dem|20190904-ramos-early-suicide-prevention-bill-clears-senate.txt|4|10.15585/mmwr.su7102a1,silent,silent,"At the beginning of the 2018 school year, 4 students died by suicide in the first two weeks of the school.","Mental Health Surveillance Among Children — United States, 2013–2019"
dem,dem|20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt|3|10.1093/jopart/mui057,silent,silent,The passing of AB 467 is a societal shift toward equity and progress.,New Public Management Is Dead--Long Live Digital-Era Governance
