party,press_release,claim_number,chars,words
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,1,120,13
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,2,74,8
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,3,63,6
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,4,118,10
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,1,124,13
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,2,121,12
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,3,164,16
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,4,140,15
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,5,81,8
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,1,118,12
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,2,146,12
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,3,92,9
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,4,111,12
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,5,89,9
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,6,115,10
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,1,132,13
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,2,136,17
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,3,47,5
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,4,66,6
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,107,10
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,6,75,8
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,7,92,11
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,1,64,7
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,2,76,8
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,3,69,7
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,4,65,7
