party,press_release,claims
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,16
Democratic,20230405-bill-protect-integrity-california-elections-foreign-money-passes-out.txt,15
Democratic,20240911-assemblywoman-pilar-schiavos-15-bill-legislative-package-advances-governors.txt,15
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,14
Democratic,20231009-governor-newsom-signs-bill-protect-californians-and-pollinators-dangerous.txt,14
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,14
Democratic,senate-passes-more-dozen-climate-equity-justice-bills-senator-josh-becker.txt,14
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,13
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,13
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,13
Democratic,20230601-addis-bills-win-approval-state-assembly.txt,12
Democratic,20230727-zbur-releases-statement-2023-2024-california-state-budget.txt,12
Democratic,fifteen-becker-bills-climate-action-social-justice-education-child.txt,12
Democratic,following-cop26-assemblymembers-rivas-calderon-ward-and-senator-cortese-commit-introduce.txt,12
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,11
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,11
Democratic,20230906-6-bills-head-senate-floor.txt,11
Democratic,bills-senator-becker-climate-action-digital-divide-justice-reform-and-voter-equity.txt,11
Democratic,senator-cortese-bill-allowing-judicial-review-old-sentences-clears-first-committee.txt,11
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,10
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,10
Democratic,20220223-assemblymember-aguiar-curry-introduces-legislation-increase-voter.txt,10
Democratic,20221220-first-nation-law-require-opioid-blocking-nasal-spray-gas-stations-bars-and.txt,10
Democratic,20240418-state-assembly-fentanyl-committee-calls-emergency-efforts-increase-access-0.txt,10
Democratic,20240925-governor-newsom-signs-ab-2426-law-increases-transparency-surrounding.txt,10
Democratic,bills-senator-becker-voter-and-environmental-justice-clear-first-hurdles.txt,10
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,9
Democratic,20211006-governor-signs-historic-legislation-transform-college-transfer-process.txt,9
Democratic,20230420-assemblymember-zbur-announces-four-bills-prevent-homelessness.txt,9
Democratic,20240222-assemblymember-zbur-introduces-three-bills-improve-californias-social.txt,9
Democratic,20241202-assemblymember-mia-bonta-introduces-bills-support-reproductive-maternal.txt,9
Democratic,20250521-assemblymember-kalra-appointed-chair-newly-established-select-committee.txt,9
Democratic,paquete-legislativo-2024-de-la-senadora-anna-m-caballero.txt,9
Democratic,silicon-valley-fresno-leaders-unite-supporting-senator-corteses-high-speed-rail-bill-advance.txt,9
Democratic,state-legislators-discuss-groundbreaking-plan-provide-universal-basic-income-foster-youth.txt,9
Democratic,20220721-bennett-limon-bill-restrict-gun-sales-ventura-county-fairground-signed.txt,8
Democratic,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,8
Democratic,20230208-assemblymember-isaac-bryan-and-formerly-incarcerated-leaders-introduce.txt,8
Democratic,20230420-one-pill-can-kill-awareness-campaign-and-legislation-address-fentanyl.txt,8
Democratic,20230712-state-california-delivers-80m-port-hueneme-paced-project.txt,8
Democratic,20230926-governor-signs-berman-bills-strengthen-californias-gun-safety-laws.txt,8
Democratic,20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt,8
Democratic,20250219-lawmakers-advocates-introduce-legislation-protect-californians-dangerous.txt,8
Democratic,20250409-assemblymember-connolly-passes-four-bills-through-policy-committees.txt,8
Democratic,20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt,8
Democratic,assembly-panel-unanimously-approves-the-fresh-act-to-fast-track.txt,8
Democratic,senator-becker-announces-support-the-delete-act-the-california.txt,8
Democratic,the-state-legislature-passes-dozen-climate-equity-and-social.txt,8
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,7
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,7
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,7
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,7
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,7
