party,press_release,claim_number,references
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,1,0
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,2,0
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,3,0
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,4,0
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,1,0
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,2,0
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,3,0
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,4,0
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,5,0
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,1,0
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,2,0
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,3,0
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,4,0
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,5,0
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,6,0
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,1,0
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,2,0
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,3,0
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,4,0
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,0
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,6,0
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,7,0
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,1,0
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,2,0
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,3,0
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,4,0
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,5,0
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,6,0
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,1,0
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,2,0
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,3,0
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,4,0
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,5,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,1,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,2,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,3,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,4,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,5,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,6,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,7,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,8,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,9,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,10,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,11,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,12,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,13,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,14,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,15,0
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,16,0
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,1,0
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,2,0
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,3,0
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,4,0
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,5,0
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,6,0
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,7,0
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,8,0
