party,term,count
Democratic,california,216
Democratic,will,96
Democratic,health,65
Democratic,have,63
Democratic,state,62
Democratic,has,61
Democratic,care,57
Democratic,bill,53
Democratic,than,48
Democratic,program,48
Democratic,housing,43
Democratic,access,41
Democratic,communities,41
Democratic,people,40
Democratic,aims,37
Democratic,public,37
Democratic,provide,37
Democratic,education,34
Democratic,children,33
Democratic,law,33
Democratic,high,30
Democratic,youth,30
Democratic,support,30
Democratic,mental,30
Democratic,school,30
Democratic,individuals,30
Democratic,students,30
Democratic,climate,29
Democratic,safety,28
Democratic,requires,27
Democratic,foreign,27
Democratic,act,26
Democratic,programs,26
Democratic,been,26
Democratic,percent,25
Democratic,energy,25
Democratic,income,25
Democratic,data,24
Democratic,violence,24
Democratic,californians,23
Republican,california,83
Republican,have,25
Republican,has,24
Republican,gas,21
Republican,than,21
Republican,newsom,19
Republican,will,19
Republican,bill,17
Republican,state,17
Republican,oil,16
Republican,000,14
Republican,prices,13
Republican,human,13
Republican,program,12
Republican,per,12
Republican,senate,12
Republican,high,11
Republican,children,11
Republican,governor,10
Republican,law,10
Republican,trafficking,10
Republican,one,9
Republican,aims,9
Republican,gallon,9
Republican,fuel,9
Republican,billion,9
Republican,who,8
Republican,californians,8
Republican,year,8
Republican,nearly,8
Republican,years,8
Republican,fentanyl,8
Republican,jobs,8
Republican,been,8
Republican,drowning,8
Republican,million,8
Republican,air,8
Republican,felony,8
Republican,legal,8
Republican,reporters,8
