party,press_release,references
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,44
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,32
Republican,assemblyman-hoovers-legislation-to-combat-fentanyl-in-schools-approved-by-public-safety-committee.txt,31
Republican,senator-valladares-bills-improve-affordability-increase-public-safety-and-expand.txt,26
Democratic,20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt,23
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-committee.txt,22
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,21
Republican,assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,20
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,19
Democratic,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,17
Republican,assemblyman-alanis-financial-literacy-bill-moves-to-the-senate.txt,17
Republican,fresno-bee-truly-green-energy-policy-would-support-oil-production-california.txt,16
Republican,legislative-republicans-call-on-newsom-administration-to-be-honest-about-new-regulations-costs-for-consumers.txt,16
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,15
Democratic,fifteen-becker-bills-climate-action-social-justice-education-child.txt,14
Republican,icymi-democrats-turn-special-session-into-partisan-show.txt,14
Republican,senate-minority-leader-jones-senator-blakespear-influencer-ricci-wynne-and-others-announce.txt,13
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,13
Republican,assembly-republicans-announce-legislation-to-bring-down-gas-prices.txt,12
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,12
Republican,costly-new-mandate-scaqmd-will-hurt-californians-warns-senator-strickland.txt,12
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,11
Democratic,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,10
Republican,alanis-k-12-education-bills-pass-education-committee.txt,10
Republican,legislative-republicans-join-law-enforcement-advocates-to-stand-up-for-public-safety.txt,10
Democratic,20230921-assemblywoman-pilar-schiavo-stands-california-attorney-general-rob-bonta.txt,9
Democratic,senator-becker-announces-support-the-delete-act-the-california.txt,9
Republican,gallagher-calls-for-independent-analysis-of-democrats-health-care-takeover-01-11-2022.txt,9
Republican,leader-jones-warns-californians-brace-skyrocketing-gas-prices.txt,9
Republican,sen-marie-alvarado-gil-prioritizes-wildfire-resiliency-rural-issues-2025-legislative.txt,9
Republican,steven-choi-all-bills-deserve-vote-sacramento-not-just-democratic-bills.txt,9
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,8
Democratic,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,8
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,8
Democratic,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,7
Democratic,20231008-assemblymember-zburs-california-offshore-wind-jobs-advancement-act-signed.txt,7
Democratic,assembly-panel-unanimously-approves-the-fresh-act-to-fast-track.txt,7
Democratic,state-legislators-discuss-groundbreaking-plan-provide-universal-basic-income-foster-youth.txt,7
Republican,demaio-introduces-california-energy-consumer-freedom-act-to-prohibit-gas-appliance-bans-and-ev-mandates.txt,7
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,6
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,6
Democratic,20221220-first-nation-law-require-opioid-blocking-nasal-spray-gas-stations-bars-and.txt,6
Democratic,20230727-zbur-releases-statement-2023-2024-california-state-budget.txt,6
Democratic,bills-senator-becker-voter-and-environmental-justice-clear-first-hurdles.txt,6
Republican,governor-newsom-signs-tri-tas-legislation-to-reform-hoa-elections-and-protect-homeowners-rights.txt,6
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,5
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,5
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,5
Democratic,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,5
Democratic,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,5
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,5
Democratic,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,5
Democratic,20230502-assemblymember-dr-corey-jackson-leads-first-hearing-select-committee.txt,5
Democratic,20230712-state-california-delivers-80m-port-hueneme-paced-project.txt,5
Democratic,20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt,5
Democratic,bill-combat-online-sexual-exploitation-signed-law.txt,5
Democratic,bills-senator-becker-climate-action-digital-divide-justice-reform-and-voter-equity.txt,5
Republican,assemblyman-hoover-responds-to-governor-newsoms-counterproductive-return-to-office-mandate.txt,5
Republican,gallagher-beale-chosen-for-air-force-drone-program-big-win-for-the-north-state.txt,5
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,5
Republican,senator-niellos-bill-ditch-switch-be-heard-tuesdays-senate-energy-committee-hearing.txt,5
Republican,strongdixon-calls-on-legislature-to-pass-fentanyl-bills-strong.txt,5
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,4
Democratic,20230831-assemblywoman-pilar-schiavo-and-state-senator-henry-stern-denounce-cpuc.txt,4
Democratic,20231010-berman-champions-elections-bills-signed-governor.txt,4
Democratic,20241202-assemblymember-mia-bonta-introduces-bills-support-reproductive-maternal.txt,4
Democratic,20250219-lawmakers-advocates-introduce-legislation-protect-californians-dangerous.txt,4
Democratic,mobile-home-park-protections-clear-senate-housing-committee.txt,4
Democratic,senate-passes-more-dozen-climate-equity-justice-bills-senator-josh-becker.txt,4
Democratic,senator-anna-m-caballeros-2024-legislative-package.txt,4
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,3
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,3
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,3
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,3
Democratic,20220928-loma-linda-university-childrens-hospital-celebrates-new-funding-innovative.txt,3
Democratic,20230518-assemblywoman-pilar-schiavo-and-los-angeles-county-delegation-vote-support.txt,3
Democratic,20230601-addis-bills-win-approval-state-assembly.txt,3
Democratic,20240418-state-assembly-fentanyl-committee-calls-emergency-efforts-increase-access-0.txt,3
Democratic,20240430-assemblywoman-schiavo-introduces-click-cancel-bill-protect-consumers.txt,3
Democratic,20240628-starting-monday-it-will-be-illegal-landlords-charge-more-one-months-rent.txt,3
Democratic,20250409-assemblymember-connolly-passes-four-bills-through-policy-committees.txt,3
Democratic,be-part-change-change-power-advocacy-day-unites-voices-maternal-mental-health.txt,3
Democratic,el-senador-cortese-defiende-el-desarrollo-economico-traves-del-ley-de-expansion-del-centro-de.txt,3
Democratic,silicon-valley-fresno-leaders-unite-supporting-senator-corteses-high-speed-rail-bill-advance.txt,3
Republican,icymi-cnn-chyron-what-in-gods-name-is-going-on-with-gavin-newsom.txt,3
Republican,senate-bill-268-passes-assembly-floor-now-one-step-closer-becoming-law.txt,3
Republican,senate-minority-leader-jones-announces-bipartisan-agreement-audit-liberty-healthcares-state.txt,3
Democratic,20230222-assemblywoman-pilar-schiavo-introduces-bill-would-ensure-more-affordable.txt,2
Democratic,20231009-gov-newsom-signs-ab-1394-enacting-strongest-law-nation-aimed-combating.txt,2
Democratic,assembly-appropriations-committee-passes-sb-10-stop-child-fentanyl-deaths-other-bills-senator.txt,2
Democratic,following-cop26-assemblymembers-rivas-calderon-ward-and-senator-cortese-commit-introduce.txt,2
Democratic,highly-destructive-summer-vegetation-wildfires-are-underway-senator-corteses-bill-reducing.txt,2
Democratic,senator-cortese-announces-update-sb-553-workplace-violence-prevention.txt,2
