party,press_release,claim_number,references
Democratic,20220721-bennett-limon-bill-restrict-gun-sales-ventura-county-fairground-signed.txt,5,1
Democratic,20230420-assemblymember-zbur-announces-four-bills-prevent-homelessness.txt,4,1
Democratic,20230615-ramos-applauds-supreme-court-decision-upholding-native-american-rights.txt,3,1
Democratic,20231207-ramos-commends-la-city-council-helping-implement-feather-alert-system.txt,2,1
Democratic,20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt,1,1
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,1,2
Democratic,20230222-assemblywoman-pilar-schiavo-introduces-bill-would-ensure-more-affordable.txt,5,2
Democratic,20231009-gov-newsom-signs-ab-1394-enacting-strongest-law-nation-aimed-combating.txt,6,2
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,12,2
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,14,2
Democratic,assembly-appropriations-committee-passes-sb-10-stop-child-fentanyl-deaths-other-bills-senator.txt,1,2
Democratic,assembly-panel-unanimously-approves-the-fresh-act-to-fast-track.txt,6,2
Democratic,bills-senator-becker-climate-action-digital-divide-justice-reform-and-voter-equity.txt,8,2
Democratic,following-cop26-assemblymembers-rivas-calderon-ward-and-senator-cortese-commit-introduce.txt,8,2
Democratic,highly-destructive-summer-vegetation-wildfires-are-underway-senator-corteses-bill-reducing.txt,5,2
Democratic,senator-cortese-announces-update-sb-553-workplace-violence-prevention.txt,4,2
Democratic,state-legislators-discuss-groundbreaking-plan-provide-universal-basic-income-foster-youth.txt,4,2
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,3,3
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,15,3
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,4,3
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,3,3
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,7,3
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,10,3
Democratic,20220928-loma-linda-university-childrens-hospital-celebrates-new-funding-innovative.txt,1,3
Democratic,20221220-first-nation-law-require-opioid-blocking-nasal-spray-gas-stations-bars-and.txt,3,3
Democratic,20221220-first-nation-law-require-opioid-blocking-nasal-spray-gas-stations-bars-and.txt,5,3
Democratic,20230518-assemblywoman-pilar-schiavo-and-los-angeles-county-delegation-vote-support.txt,3,3
Democratic,20230601-addis-bills-win-approval-state-assembly.txt,3,3
Democratic,20240418-state-assembly-fentanyl-committee-calls-emergency-efforts-increase-access-0.txt,9,3
Democratic,20240430-assemblywoman-schiavo-introduces-click-cancel-bill-protect-consumers.txt,3,3
Democratic,20240628-starting-monday-it-will-be-illegal-landlords-charge-more-one-months-rent.txt,7,3
Democratic,20250409-assemblymember-connolly-passes-four-bills-through-policy-committees.txt,3,3
Democratic,20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt,7,3
Democratic,be-part-change-change-power-advocacy-day-unites-voices-maternal-mental-health.txt,2,3
Democratic,bills-senator-becker-climate-action-digital-divide-justice-reform-and-voter-equity.txt,2,3
Democratic,el-senador-cortese-defiende-el-desarrollo-economico-traves-del-ley-de-expansion-del-centro-de.txt,3,3
Democratic,fifteen-becker-bills-climate-action-social-justice-education-child.txt,10,3
Democratic,silicon-valley-fresno-leaders-unite-supporting-senator-corteses-high-speed-rail-bill-advance.txt,5,3
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,3,4
