party,year,count
Democratic,1999,1
Democratic,2002,1
Democratic,2003,1
Democratic,2009,1
Democratic,2010,1
Democratic,2011,1
Democratic,2012,1
Democratic,2013,2
Democratic,2014,4
Democratic,2015,2
Democratic,2016,7
Democratic,2017,4
Democratic,2018,13
Democratic,2019,21
Democratic,2020,24
Democratic,2021,31
Democratic,2022,39
Democratic,2023,48
Democratic,2024,50
Democratic,2025,81
Republican,1977,1
Republican,1987,1
Republican,1996,1
Republican,2001,2
Republican,2002,2
Republican,2006,1
Republican,2008,1
Republican,2009,2
Republican,2010,1
Republican,2012,3
Republican,2015,2
Republican,2016,6
Republican,2017,5
Republican,2018,11
Republican,2019,10
Republican,2020,21
Republican,2021,33
Republican,2022,39
Republican,2023,74
Republican,2024,111
Republican,2025,125
